"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 19 12:52:06 EET 2023","Sun Mar 19 12:52:13 EET 2023","7322","chromium","inventoryPage.spec.js","","","","Should contain products list, burger menu and filter",""
"passed","Sun Mar 19 12:53:10 EET 2023","Sun Mar 19 12:53:15 EET 2023","4186","firefox","loginPage.spec.js","","","","Should not be able to login with blank username field & existing password- page shows error message",""
"passed","Sun Mar 19 12:52:13 EET 2023","Sun Mar 19 12:52:16 EET 2023","3133","chromium","inventoryPage.spec.js","","","","Footer should have icons with social network links",""
"passed","Sun Mar 19 12:53:09 EET 2023","Sun Mar 19 12:53:13 EET 2023","4077","firefox","loginPage.spec.js","","","","Should not be able to login with blank password field & existing username - page shows error message",""
"passed","Sun Mar 19 12:52:21 EET 2023","Sun Mar 19 12:52:25 EET 2023","3448","chromium","loginPage.spec.js","","","","Should able to login with accepted credentials",""
"passed","Sun Mar 19 12:52:49 EET 2023","Sun Mar 19 12:52:55 EET 2023","5563","firefox","inventoryPage.spec.js","","","","Should be able to add product to cart by pressing on [Add to cart] button",""
"passed","Sun Mar 19 12:52:20 EET 2023","Sun Mar 19 12:52:23 EET 2023","2792","chromium","loginPage.spec.js","","","","Should contain title and login form with with username, password fields and submit button",""
"passed","Sun Mar 19 12:54:02 EET 2023","Sun Mar 19 12:54:10 EET 2023","8334","webkit","loginPage.spec.js","","","","Should not be able to login with not existing username & existing password- page shows error message",""
"passed","Sun Mar 19 12:53:47 EET 2023","Sun Mar 19 12:54:00 EET 2023","13092","webkit","inventoryPage.spec.js","","","","Should be able to order the product",""
"passed","Sun Mar 19 12:53:40 EET 2023","Sun Mar 19 12:53:58 EET 2023","17992","webkit","inventoryPage.spec.js","","","","Should be able to delete product from the shopping cart",""
"passed","Sun Mar 19 12:52:28 EET 2023","Sun Mar 19 12:52:30 EET 2023","2347","chromium","loginPage.spec.js","","","","Should not be able to login with blank username field & existing password- page shows error message",""
"passed","Sun Mar 19 12:52:16 EET 2023","Sun Mar 19 12:52:21 EET 2023","4914","chromium","inventoryPage.spec.js","","","","Should be able to order the product",""
"passed","Sun Mar 19 12:53:33 EET 2023","Sun Mar 19 12:53:47 EET 2023","14528","webkit","inventoryPage.spec.js","","","","Should be able to add product to cart by pressing on [Add to cart] button",""
"passed","Sun Mar 19 12:52:16 EET 2023","Sun Mar 19 12:52:20 EET 2023","3989","chromium","inventoryPage.spec.js","","","","Should be able to delete product from the shopping cart",""
"passed","Sun Mar 19 12:52:52 EET 2023","Sun Mar 19 12:53:00 EET 2023","7959","firefox","inventoryPage.spec.js","","","","Should be able to delete product from the shopping cart",""
"passed","Sun Mar 19 12:52:25 EET 2023","Sun Mar 19 12:52:28 EET 2023","2731","chromium","loginPage.spec.js","","","","Should not be able to login with not existing password & existing username - page shows error message",""
